Title,Synopsis,"Award Type","Next due date (Y-m-d)","Proposals accepted anytime","Program ID","NSF/PD Num",Status,"Posted date (Y-m-d)",URL,Type,"Solicitation URL"
"Planning Proposals for Centers of Research Excellence in Science and Technology (CREST Centers) in Computer and Information Science and Engineering (CISE)",,standard,,,,nsf24089,,2024-05-09,https://www.nsf.gov/funding/opportunities/dcl-planning-proposals-centers-research-excellence-science-0,"Dear colleague letter",
"Mathematical Modeling of Policy Options for Evolving Public Health Challenges (MPOPHC)",,"standard, continuing",,,,nsf24088,,2024-05-08,https://www.nsf.gov/funding/opportunities/dcl-mathematical-modeling-policy-options-evolving-public-health,"Dear colleague letter",
"Non-Academic Research Internships for Graduate Students in Hydrogen and Fuel Cell Technologies (Hydrogen INTERN) Supplemental Funding Opportunity",,supplemental,,,,nsf24087,,2024-05-06,https://www.nsf.gov/funding/opportunities/dcl-non-academic-research-internships-graduate-students-hydrogen,"Dear colleague letter",
"NSF-NIH Pathfinder Supplements on Quantum Sensors for Biomedical Science",,supplemental,,,,nsf24086,,2024-05-06,https://www.nsf.gov/funding/opportunities/dcl-nsf-nih-pathfinder-supplements-quantum-sensors-biomedical,"Dear colleague letter",
"Research Training Groups in the Mathematical Sciences (RTG)","The long-range goal of the Research Training Groups in the Mathematical Sciences (RTG) program is to strengthen the nation's scientific competitiveness by increasing the number of well-prepared U.S. citizens, nationals, and permanent residents who pursue careers in the mathematical sciences, be they in academia, government, or industry. The RTG program supports efforts to improve graduate student research training and professional development through structured groups pursuing collaborative research. In addition to graduate student trainees working with faculty members, RTG supported research teams may, but are not required to, include undergraduate or postdoctoral trainees.
The RTG program invites submissions in all fields within mathematical sciences; especially encouraged in 2024-2025 are those that align and integrate research in mathematics and statistics with emerging areas such as Artificial Intelligence, Biotechnology, Quantum Computing, and Cybersecurity.","standard, continuing","2025-08-12, 2025-08-12",,5732,nsf24570,Cleared,2024-05-02,https://www.nsf.gov/funding/opportunities/rtg-research-training-groups-mathematical-sciences/nsf24-570,Program,https://www.nsf.gov/funding/opportunities/rtg-research-training-groups-mathematical-sciences/nsf24-570/solicitation
"Posttranscriptional and Posttranslational Modification (PPM)",,"standard, continuing",,,,nsf24084,,2024-05-02,https://www.nsf.gov/funding/opportunities/dcl-posttranscriptional-posttranslational-modification-ppm,"Dear colleague letter",
"Mathematical Foundations of Artificial Intelligence (MFAI)","Machine Learning and Artificial Intelligence (AI) are enabling extraordinary scientific breakthroughs in fields ranging from protein folding, natural language processing, drug synthesis, and recommender systems to the discovery of novel engineering materials and products. These achievements lie at the confluence of mathematics, statistics, engineering and computer science, yet a clear explanation of the remarkable power and also the limitations of such AI systems has eluded scientists from all disciplines. Critical foundational gaps remain that, if not properly addressed, will soon limit advances in machine learning, curbing progress in artificial intelligence. It appears increasingly unlikely that these critical gaps can be surmounted with increased computational power and experimentation alone. Deeper mathematical understanding is essential to ensuring that AI can be harnessed to meet the future needs of society and enable broad scientific discovery, while forestalling the unintended consequences of a disruptive technology.  
The National Science Foundation Directorates for Mathematical and Physical Sciences (MPS), Computer and Information Science and Engineering (CISE), Engineering (ENG), and Social, Behavioral and Economic Sciences (SBE) will jointly sponsor research collaborations consisting of mathematicians, statisticians, computer scientists, engineers, and social and behavioral scientists focused on the mathematical and theoretical foundations of AI. Research activities should focus on the most challenging mathematical and theoretical questions aimed at understanding the capabilities, limitations, and emerging properties of AI methods as well as the development of novel, and mathematically grounded, design and analysis principles for the current and next generation of AI approaches.
Specific research goals include: establishing a fundamental mathematical understanding of the factors determining the capabilities and limitations of current and emerging generations of AI systems, including, but not limited to, foundation models, generative models, deep learning, statistical learning, federated learning, and other evolving paradigms; the development of mathematically grounded design and analysis principles for the current and next generations of AI systems; rigorous approaches for characterizing and validating machine learning algorithms and their predictions; research enabling provably reliable, translational, general-purpose AI systems and algorithms; encouragement of new collaborations across this interdisciplinary research community and from diverse institutions.
The overall goal is to establish innovative and principled design and analysis approaches for AI technology using creative yet theoretically grounded mathematical and statistical frameworks, yielding explainable and interpretable models that can enable sustainable, socially responsible, and trustworthy AI.  
 ","standard, continuing","2025-10-10, 2025-10-10",,506263,nsf24569,Cleared,2024-05-01,https://www.nsf.gov/funding/opportunities/mfai-mathematical-foundations-artificial-intelligence/nsf24-569,Program,https://www.nsf.gov/funding/opportunities/mfai-mathematical-foundations-artificial-intelligence/nsf24-569/solicitation
"Leveraging Cyberinfrastructure for Research Data Management (RDM)",,standard,,,,nsf24085,,2024-05-01,https://www.nsf.gov/funding/opportunities/dcl-leveraging-cyberinfrastructure-research-data-management-rdm,"Dear colleague letter",
"Graduate Research Internships at National Institute of Biomedical Imaging and Bioengineering (NSF-NIBIB/BETA INTERN) Supplemental Funding Opportunity",,supplemental,,,,nsf24083,,2024-04-30,https://www.nsf.gov/funding/opportunities/dcl-graduate-research-internships-national-institute-biomedical,"Dear colleague letter",
"IUCRC Proposals for Research and Thought Leadership on Insurance Risk Modeling and Underwriting Related to Terrorism and Catastrophic Cyber Risks: A Joint NSF and U.S. Department of the Treasury Federal Insurance Office Call",,"standard, continuing",,,,nsf24082,,2024-04-24,https://www.nsf.gov/funding/opportunities/dcl-iucrc-proposals-research-thought-leadership-insurance-risk,"Dear colleague letter",
"Using Long-Term Research Associated Data (ULTRA-Data)",,"standard, continuing",,,,nsf24081,,2024-04-24,https://www.nsf.gov/funding/opportunities/dcl-using-long-term-research-associated-data-ultra-data,"Dear colleague letter",
"National Science Foundation Research Traineeship Institutional Partnership Pilot Program","The NSF Research Traineeship (NRT) Program seeks proposals that explore ways for graduate students in research-based master’s and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of science, technology, engineering, and mathematics (STEM) careers. This solicitation describes a pilot for a potential new track for the existing NRT Program that will support research and education projects that will result in a new master’s degree, certificate, or a track within an existing master’s or Ph.D. program with high industry relevance in at least one focus area identified in this pilot. This will be accomplished through an effective partnership among: (a) a non-R1 Institution of Higher Education (IHE) (lead institution), (b) an non-lead IHE (an R1 or non-R1) that has either an ongoing or completed NRT program in at least one of the focus areas defined for this pilot (see below), and (c) two to three industry partners in the same focus area(s). The overall purpose is to train the STEM workforce in focus areas specified in this solicitation by stimulating collaborations among non-R1 institutions, institutions with existing or completed NRT projects, and industry partners.",continuing,,,506273,nsf24566,Cleared,2024-04-23,https://www.nsf.gov/funding/opportunities/national-science-foundation-research-traineeship/nsf24-566,Program,https://www.nsf.gov/funding/opportunities/national-science-foundation-research-traineeship/nsf24-566/solicitation
"Joint National Science Foundation and United States Department of Agriculture National Institute of Food and Agriculture Funding Opportunity: Supporting Foundational Research in Robotics (FRR)",,"standard, continuing",,,,nsf24080,,2024-04-18,https://www.nsf.gov/funding/opportunities/dcl-joint-national-science-foundation-united-states-department,"Dear colleague letter",
"NSF Regional Innovation Engines (NSF Engines)","The NSF Regional Innovation Engines (NSF Engines) program creates regional-scale, technology-driven innovation ecosystems throughout the United States by accelerating key technologies, addressing regional, national, societal, and/or geostrategic challenges, driving economic growth, creating and retaining quality jobs, expanding pathways into careers, and strengthening national competitiveness and security. Each NSF Engine represents a formal coalition of regional partners, led by a full-time Chief Executive Officer (CEO), tasked to carry out an integrated and comprehensive set of activities spanning use-inspired research, translation of innovation to practice, entrepreneurship, workforce development, community engagement, and ecosystem building, to nurture and accelerate the growth of regional innovation ecosystems grounded in technological innovation and regional, national, societal, and/or geostrategic challenges. The mission of an NSF Engine must be clearly rooted in regional interests and reflect the aspiration that a regional innovation ecosystem can help build strong communities where all residents can thrive. This includes the development of regional talent and intentional community engagements. The NSF Engines program is a placed-based innovation funding initiative, where the emphasis on “regions” expresses NSF’s aim to stimulate innovation-driven economic growth within a particular place or region of service. The emphasis of the NSF Engines program further includes creating new business and economic growth in sectors that are critical to American competitiveness and in those regions of America that have not fully participated in the technology boom of the past several decades.",coop,"2025-04-15, 2025-04-15",,506303,nsf24565,Cleared,2024-04-16,https://www.nsf.gov/funding/opportunities/nsf-engines-nsf-regional-innovation-engines/nsf24-565,Program,https://www.nsf.gov/funding/opportunities/nsf-engines-nsf-regional-innovation-engines/nsf24-565/solicitation
"Expanding Geographic and Institutional Diversity in Social, Behavioral, and Economic Sciences (SBE)",,"supplemental, standard, continuing",,,,nsf24079,,2024-04-16,https://www.nsf.gov/funding/opportunities/dcl-expanding-geographic-institutional-diversity-social,"Dear colleague letter",
"Enhancing STEM Education, Research Capacity, and Workforce Development in Established Program to Stimulate Competitive Research (EPSCoR) Jurisdictions",,"supplemental, standard, continuing",,,,nsf24077,,2024-04-11,https://www.nsf.gov/funding/opportunities/dcl-enhancing-stem-education-research-capacity-workforce,"Dear colleague letter",
"Cyberinfrastructure for Public Access and Open Science (CI PAOS)","The Cyberinfrastructure for Public Access and Open Science (CI PAOS) program within the Office of Advanced Cyberinfrastructure (OAC) aims to catalyze new and transformative socio-technical partnerships supporting research data infrastructure ecosystems across domains through early-stage collaborative activities between cyberinfrastructure researchers, scientists, research computing experts, data management experts, research labs, university libraries, and other communities of practice. 


The CI PAOS program supports the NSF Public Access Initiative by encouraging innovation across the CI ecosystem to address accessibility, discoverability, reliability, reproducibility, sustainability, and utility of data products in alignment with NSF and national goals for public access and open science [See: NSF Public Access Initiative, Office of Science and Technology Policy Memorandum on Ensuring Free, Immediate, and equitable Access to Federally funded Research, and Desirable Characteristics of Data Repositories for Federally Funded Research]. CI PAOS builds on previous investments including those through Dear Colleague Letters NSF19-069,NSF20-068, NSF 23-018, and the FAIROS Research Coordination Networks (RCN) program solicitation (NSF 22-553).  


NSF accepts proposals pursuant to this Program Description year-round. From time to time, NSF may also issue Dear Colleague Letters to encourage proposals on special thematic interests and opportunities related to this program. 

GUIDANCE TO POTENTIAL PROPOSERS 


A primary feature of successful CI PAOS projects is a robust, synergistic collaborative team comprising skills from across communities of science/engineering, research data science, and information science discipline(s) and expertise in leveraging connections between cyberinfrastructure researchers and providers and data specialists.  Leveraging international collaboration to build shared norms and address challenges related to developing and implementing PAOS policies and practices is encouraged.  Research and education in science and engineering benefit immensely from international cooperation. Proposals with an international component are also welcome [See: International Collaborations Opportunities at NSF]. Proposers must target one or more of the following themes/pathways:Competency Building, Capability Building, and/or Community Building.  


Competency Building 


Open science/engineering-driven collaboration. A socio-technical collaborative approach in addressing disciplinary, interdisciplinary, domestic, and international data lifecycle challenges is critical to informing and guiding the development of principles, requirements, and standards of a CI ecosystem that fosters pipelines to good data management and pathways to access. Proposals should clearly describe the goals, challenges, and rationale for the proposed data science and engineering project and include an explanation of the potential for transformative research and broader impacts on the open science ecosystem [See: U.S. NSF Broader Impacts]. Successful proposals will also clearly identify utilization science scenarios and use cases. 


Capability Building 


Exploratory and pilot activities. Proposals are welcomed that support early-stage exploratory efforts that may comprise analysis, community planning, and pilot-level activities that inform future development and deployment of appropriately useful capabilities. Proposals for full-scale technical research data science efforts leading to development/deployment of larger scale capabilities should be directed to other appropriate NSF programs. Successful proposals will also clearly identify leveraging of existing cyberinfrastructure, funded projects, and resources. 


Community Building 


Integrative and accelerative approaches. Proposals are particularly welcomed that address common needs or gaps across multiple research disciplines and communities of practice; leverage and accelerate the impact of existing CI investments in infrastructure, resources, and services in one or more disciplinary domains; facilitate coordination, advance alignment, and/or build community with the international CI PAOS community; aim to reduce barriers to broader adoption of CI-enabled research data and open science/engineering approaches; and/or integrateas appropriate different aspects and elements of CI to achieve ecosystems with generative science/engineering and multi-discipline impact. 


Requirements to contact NSF Cognizant Program Officers. CI PAOS activities are inherently focused on collaborative research between fields of data and computer and information science and engineering researchers and other domain researchers. Successful CI PAOS projects will typically involve co-funding from the relevant disciplinary research programs within NSF. Consequently, before submitting a proposal to CI PAOS, proposers must discuss their project with a cognizant CI PAOS Program Officer and with the relevant NSF disciplinary research program officer(s) to ensure that CI PAOS is the appropriate venue and that there is adequate disciplinary interest in the proposed effort. 


Proposals that have been declined by CI PAOS or any other NSF program may not be resubmitted to CI PAOS without substantial revision. Proposals that do not align with CI PAOS program objectives and guidance may be returned without review. ","standard, continuing, other",,1,506307,pd247414,Cleared,2024-04-08,https://www.nsf.gov/funding/opportunities/ci-paos-cyberinfrastructure-public-access-open-science/pd24-7414,Program,https://www.nsf.gov/policies/pappg
"IUSE/Professional Formation of Engineers: Revolutionizing Engineering Departments (IUSE/PFE: RED)","Revolutionizing Engineering Departments (hereinafter referred to as RED) is designed to build upon previous efforts in engineering education research. Specifically, previous and ongoing evaluations of the NSF Engineering Education and Centers Division program and its predecessors, as well as those related programs in the Directorate for STEM Education, have shown that prior investments have significantly improved the first year of engineering students’ experiences, incorporating engineering material, active learning approaches, design instruction, and a broad introduction to professional skills and a sense of professional practice – giving students an idea of what it means to become an engineer. Similarly, the senior year has seen notable change through capstone design experiences, which ask students to synthesize the technical knowledge, skills, and abilities they have gained with professional capacities, using reflective judgment to make decisions and communicate these effectively. However, this ideal of the senior year has not yet been fully realized, because many of the competencies required in capstone design, or required of professional engineers, are only partially introduced in the first year and not carried forward with significant emphasis through the sophomore and junior years.
The Directorates for Engineering (ENG) and STEM Education (EDU) are funding projects as part of the RED program, in alignment with the Improving Undergraduate STEM Education (IUSE) framework and Professional Formation of Engineers (PFE) initiative. These projects are designing revolutionary new approaches to engineering education, ranging from changing the canon of engineering to fundamentally altering the way courses are structured to creating new departmental structures and educational collaborations with industry. A common thread across these projects is a focus on organizational and cultural change within the departments, involving students, faculty, staff, and industry in rethinking what it means to provide an engineering program.
In order to continue to catalyze revolutionary approaches, while expanding the reach of those that have proved efficacious in particular contexts, the RED program supports four tracks: RED Planning (Track 1), RED Adaptation and Implementation (Track 2), RED Innovation (Track 3), and RED Innovation Partnerships (Track 4). Two- and four-year institutions are encouraged to submit to any track as appropriate for their goals and context.
RED Planning (Track 1) projects will support capacity-building activities at institutions of special interest to NSF’s mission, specifically two-year engineering-centered programs building transfer partnerships, two-year or four-year institutions in EPSCoR jurisdictions, Primarily Undergraduate Institutions (PUIs), and Institutions of Higher Education (IHEs) seeking to level the number of degrees across of the full spectrum of diverse talent in engineering. Planning projects should provide the support for such institutions to explore the development of a RED Projects in Tracks 2, 3, & 4.
RED Adaptation and Implementation (Track 2) projects will adapt and implement evidence-based organizational change strategies and actions to the local context, which helps propagate this transformation of undergraduate engineering education.
RED Innovation (Track 3) projects will develop new, revolutionary approaches and change strategies that enable the transformation of undergraduate engineering education.
RED Innovation Partnerships (Track 4) projects will achieve the same goals as Track 3 projects across multiple institutions. Of particular interest to this track are projects partnering two-year institutions with other eligible institutions.
Projects in tracks 2, 3, & 4 will include consideration of the cultural, organizational, structural, and pedagogical changes needed to transform one or more departments to ones in which students are engaged, develop their technical and professional skills, and establish identities as professional engineers or technologists. The focus of projects in these tracks should be on the department’s disciplinary courses and program. RED project initiatives are expected to be institutionalized at the end of the funding period.
Proposals are especially encouraged that address areas of increased national interest including but not limited to advanced manufacturing, advanced wireless, artificial intelligence, biotechnology, microelectronics and semiconductors, net zero technologies, sustainability, systems engineering, and quantum engineering.","standard, continuing","2025-09-09, 2025-09-09",,505105,nsf24564,Cleared,2024-04-04,https://www.nsf.gov/funding/opportunities/iusepfe-red-iuseprofessional-formation-engineers-revolutionizing/nsf24-564,Program,https://www.nsf.gov/funding/opportunities/iusepfe-red-iuseprofessional-formation-engineers-revolutionizing/nsf24-564/solicitation
"Louis Stokes Alliances for Minority Participation (LSAMP)","The Louis Stokes Alliances for Minority Participation (LSAMP) program invests in the Nation's colleges and universities to aid student success to create a new generation of STEM discoverers for the national STEM enterprise.  The program takes a comprehensive approach to the STEM Learning Ecosystem to impact STEM student development and retention. 
LSAMP is an alliance-based program, whereby a group of institutions of higher education (IHEs) work together to diversify the nation's science, technology, engineering, and mathematics (STEM) workforce by increasing the number of STEM baccalaureate and graduate degrees awarded to persons from LSAMP populations.  LSAMP populations are defined as persons from groups underrepresented in the STEM enterprise:  Blacks and African-Americans, Hispanic and Latino Americans, American Indians, Alaska Natives, Native Hawaiians, and Pacific Islanders.  The LSAMP program provides funding to alliances that implement comprehensive, evidence-based, innovative, and sustained strategies that ultimately result in the graduation of well-prepared, highly competitive students from LSAMP populations who pursue graduate studies or careers in STEM, while also supporting knowledge generation, knowledge utilization, assessment of program impacts, dissemination activities and dissemination of scholarly research into the field.
Projects supported by the LSAMP program include:
--Alliance Development Grants (ADG) support the conceptualization and development of new B2B and new SPIO alliances. (New)
--Bridge-to-the-Baccalaureate (B2B) alliances facilitate the successful transfer of students from LSAMP populations to four-year institutions in pursuit of STEM baccalaureate degrees.
--STEM Pathways Implementation-Only (SPIO) alliances are designed for new and reconstituted alliances.  These projects focus on building and strengthening strategies and approaches to assist Institutions of Higher Education (IHEs) increase STEM baccalaureate degrees to LSAMP populations and facilitate entry into STEM graduate degree programs.
--STEM Pathways Research Alliances (SPRA) are designed for well-established alliances.  These projects serve as models of excellence in STEM broadening participation by (1) steadily increasing STEM baccalaureate degrees to LSAMP populations and facilitating entry into STEM graduate degree programs; (2) producing and disseminating new scholarly research on the broadening participation of LSAMP populations (or underrepresented and underserved populations in STEM disciplines and the nation's STEM workforce) and, (3) holistically assess the state of institutionalization and sustainability of the alliance.
--Bridge to STEM Graduate Degrees in National Priorities (BD-Master's) projects support cohorts of six graduate students pursuing a M. S. degree in STEM national priority areas, providing financial support (stipends and cost of education) and support to help develop and maintain academic and research skills that enable participants to successfully persist in STEM graduate degree programs at Master's comprehensive-degree producing institutions only. (New)
--Bridge to STEM Graduate Degrees in National Priorities (BD-Doctoral) projects support cohorts of twelve graduate students pursuing a Ph.D. degree in STEM national priority areas, providing financial support (stipends and cost of education) and support to help develop and maintain academic and research skills that enable participants to successfully persist in STEM doctoral degree programs.
--STEM Networking Incentives and Engagement (NETWORKS) projects provide support to incentivize the creation and participation of LSAMP populations in STEM networks. (New)
 ","standard, continuing","2025-11-21, 2025-11-21",,13646,nsf24563,Cleared,2024-03-27,https://www.nsf.gov/funding/opportunities/lsamp-louis-stokes-alliances-minority-participation/nsf24-563,Program,https://www.nsf.gov/funding/opportunities/lsamp-louis-stokes-alliances-minority-participation/nsf24-563/solicitation
"Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering (CREST-RISE)","The Centers of Research Excellence in Science and Technology (CREST) program provides support to enhance the research capabilities of minority-serving institutions (MSIs) as defined in this solicitation’s Eligibility section, through effective integration of education and research. The CREST program, composed of the CREST Centers, the CREST Postdoctoral Research Program, and the projects supported by this CREST-RISE solicitation, promotes the development of new knowledge, enhancements of the research productivity of individual faculty and postdoctoral scholars, and an expanded presence of research doctoral students in science, technology, engineering, and mathematics (STEM) disciplines, especially those from underrepresented groups.
CREST-RISE is the component of the CREST program that supports the expansion of institutional research capacity by increasing the strength of institutional graduate programs and the successful production of research doctoral students, especially those from groups underrepresented in STEM.
The CREST-RISE component supports STEM research doctoral programs in all NSF supported areas and encourages proposals in areas of national interest, such as artificial intelligence, data science and analytics; advanced materials, manufacturing, robotics; cybersecurity; plant genetics/agricultural technologies; quantum information sciences; nanotechnology, semiconductors/microelectronics technologies; climate change and clean energy.
CREST-RISE projects must have a direct connection to the long-term plans of the host department(s) and the institution’s strategic plan and mission. Project plans should emphasize activities designed to increase the production of research doctoral students, especially those underrepresented in STEM as well as expand institutional research capacity.
The goals of CREST-RISE are to increase: 1) the number of STEM research doctoral programs at MSIs (as defined in the Eligibility section), 2) the number of STEM research doctoral students graduating from MSIs, especially those from groups underrepresented in STEM, and 3) institutional research capacity to increase doctoral students’ graduation rates. To achieve these goals, the CREST-RISE program includes three tracks as follows:

CREST-RISE STEM Doctoral Programs Support Initiative (CREST-RISE DPSI)
CREST-RISE Research Advancement and Development (CREST-RISE RAD)
CREST-RISE Equipment & Instrumentation (CREST-RISE E&I)","standard, continuing","2025-08-01, 2025-08-01",,506118,nsf24562,Cleared,2024-03-25,https://www.nsf.gov/funding/opportunities/crest-rise-centers-research-excellence-science-technology-research/nsf24-562,Program,https://www.nsf.gov/funding/opportunities/crest-rise-centers-research-excellence-science-technology-research/nsf24-562/solicitation
"Foundations for Digital Twins as Catalyzers of Biomedical Technological Innovation (FDT-BioTech)","The Foundations for Digital Twins as Catalyzers of Biomedical Technological Innovation (FDT-BioTech) program supports inherently interdisciplinary research projects that underpin the mathematical and engineering foundations behind the development and use of digital twins and synthetic data in biomedical and healthcare applications, with a particular focus on digital, in silico models used in the evaluation of medical devices and the relevance of the developed models in addressing current and emerging  challenges affecting the development and assessment of biomedical technologies. The goal of the FDT-BioTech initiative is to catalyze biomedical technological innovation through new foundational development of methods and algorithms relevant to digital twins and synthetic humans.","standard, continuing","2025-05-05, 2025-05-05",,506255,nsf24561,Cleared,2024-03-22,https://www.nsf.gov/funding/opportunities/fdt-biotech-foundations-digital-twins-catalyzers-biomedical/nsf24-561,Program,https://www.nsf.gov/funding/opportunities/fdt-biotech-foundations-digital-twins-catalyzers-biomedical/nsf24-561/solicitation
"Data Science Corps (DSC)","The objective of the Data Science Corps program is to help build a strong national data science infrastructure and workforce. The Data Science Corps program seeks to engage data science students in real-world data science implementation projects. This engagement will help bridge the data-to-knowledge gap in organizations and communities at all levels, including local, state, and national, and will empower better use of data for more effective decision making. Data Science Corps participants will be able to sharpen their skills in data science by working on real-world projects focused on specific community needs, including rural communities, urban communities, academia, industry, or government. This partnership between communities and data scientists will serve the nation by helping produce a workforce-ready cohort of data scientists and technologists, who have experience with data science in action in real-world settings. The program welcomes proposals that seek to broaden participation in science, technology, engineering and mathematics (STEM) and STEM education.  
This solicitation prompts the community to respond to one or more mechanisms by which to provide students with data science education and training, including in data science issues related to knowledge representation and creation and use of knowledge graphs. The solicitation supports opportunities for undergraduates (including students from community colleges, Minority Serving Institutions, other emerging research institutions as defined in the CHIPS and Science Act, https://www.congress.gov/bill/117th-congress/house-bill/4346, and institutions in EPSCoR jurisdictions), and grade 6-12 teachers and students. When responding to this solicitation, even though proposals must be submitted through the Directorate for STEM Education, Division of Research on Learning in Formal and Informal Settings (EDU/DRL), once received, the proposals will be managed by a cross-disciplinary team of NSF Program Directors
This solicitation grew out of the NSF-wide activity known as Harnessing the Data Revolution (HDR), a national-scale activity to enable new modes of data-driven discovery addressing fundamental questions at the frontiers of science and engineering.  HDR has supported an interrelated set of efforts in foundations of data science; data-intensive research in science and engineering; and education and workforce development.
 
Contact Information:
Please note that the following information is current at the time of publishing. See program website for any updates to the points of contact.
·         General inquiries may be addressed to HDR-DSC@nsf.gov.",standard,,,505536,nsf24560,Cleared,2024-03-22,https://www.nsf.gov/funding/opportunities/dsc-data-science-corps/nsf24-560,Program,https://www.nsf.gov/funding/opportunities/dsc-data-science-corps/nsf24-560/solicitation
"Mathematical Foundations of Digital Twins (MATH-DT)","The Division of Mathematical Sciences (DMS) in the Directorate for Mathematical and Physical Sciences (MPS) at the National Science Foundation (NSF) and the Air Force Office of Scientific Research (AFOSR) plan to jointly support foundational mathematical and statistical research on Digital Twins in applied sciences. Recent years have witnessed a significant increase in the demand and interest in applications that involve collaborative teams developing and analyzing Digital Twins to support decision making in various fields, including science, engineering, medicine, urban planning, and more. Both agencies recognize the need to promote research aiming to stimulate an interplay between mathematics/statistics/computation and practical applications in the realm of Digital Twins.  This program encourages new collaborative efforts within the realm of Digital Twins, aiming at stimulating fundamental research innovation, pushing, and expanding the boundaries of knowledge, and exploring new frontiers in mathematics and computation for Digital Twin development, and its applications.  By leveraging this synergy, the program aims to harness science, technology, and innovation to address some of our Society’s most pressing challenges.",standard,"2026-03-16, 2026-03-16",,506266,nsf24559,Cleared,2024-03-22,https://www.nsf.gov/funding/opportunities/math-dt-mathematical-foundations-digital-twins/nsf24-559,Program,https://www.nsf.gov/funding/opportunities/math-dt-mathematical-foundations-digital-twins/nsf24-559/solicitation
"Research Internships for Graduate Students at U.S. Army Combat Capabilities Development Command Army Research Laboratory and Ground Vehicle Systems Center (NSF-DEVCOM INTERN) Supplemental Funding Opportunity",,supplemental,,,,nsf24071,,2024-03-21,https://www.nsf.gov/funding/opportunities/dcl-research-internships-graduate-students-us-army-combat,"Dear colleague letter",
"Nordic-U.S. Research Collaboration on Sustainable Development of the Arctic",,"standard, continuing",,,,nsf24070,,2024-03-19,https://www.nsf.gov/funding/opportunities/dcl-nordic-us-research-collaboration-sustainable-development,"Dear colleague letter",
"Innovative Use of Scientific Collections (IUSC)",,"standard, continuing",,,,nsf24069,,2024-03-18,https://www.nsf.gov/funding/opportunities/dcl-innovative-use-scientific-collections-iusc,"Dear colleague letter",
"Piloting Departmental-level Systemic Change for Equity",,"standard, continuing",,,,nsf24066,,2024-03-13,https://www.nsf.gov/funding/opportunities/dcl-piloting-departmental-level-systemic-change-equity,"Dear colleague letter",
